Date,Open,High,Low,Close,Adj Close,Volume
2022-05-11,51.189999,52.360001,50.959999,52.150002,45.420555,4616314
2022-05-12,50.860001,51.970001,50.380001,51.410000,44.776043,3926995
2022-05-13,52.020000,52.680000,51.599998,52.380001,45.620872,2968459
2022-05-16,52.040001,52.759998,51.580002,52.310001,45.559906,2924645
2022-05-17,52.820000,53.830002,52.689999,53.500000,46.596348,3029523
2022-05-18,53.450001,53.950001,52.950001,53.340000,46.456993,3012460
2022-05-19,52.730000,53.209999,52.029999,53.189999,46.326347,3457011
2022-05-20,53.970001,54.169998,53.139999,53.709999,46.779247,4626704
2022-05-23,50.599998,52.119999,49.715000,52.119999,48.723709,5302162
2022-05-24,51.200001,52.180000,50.759998,51.680000,48.312382,3369613
2022-05-25,52.320000,52.480000,51.240002,51.869999,48.489998,3151779
2022-05-26,51.990002,52.939999,51.700001,52.700001,49.265915,2108082
2022-05-27,52.980000,53.549999,52.490002,53.549999,50.060528,2563006
2022-05-30,53.910000,54.750000,53.680000,54.299999,50.761654,2559104
2022-05-31,54.169998,54.299999,52.950001,53.110001,49.649200,5405021
2022-06-01,53.779999,53.930000,52.770000,52.840000,49.396793,3000173
2022-06-02,53.110001,53.169998,52.470001,52.700001,49.265915,1999794
2022-06-03,53.070000,53.209999,52.369999,52.560001,49.135040,2198101
2022-06-06,53.150002,53.849998,52.910000,53.279999,49.808121,2336664
2022-06-07,53.009998,53.180000,52.150002,52.450001,49.032207,2277614
2022-06-08,52.099998,52.320000,51.480000,52.080002,48.686317,3029462
2022-06-09,51.849998,52.570000,50.950001,51.189999,47.854309,2837990
2022-06-10,50.709999,50.799999,48.250000,48.599998,45.433083,4828542
2022-06-13,47.485001,47.810001,46.369999,46.669998,43.628845,5468632
2022-06-14,47.500000,47.950001,46.584999,47.334999,44.250515,3826672
2022-06-15,49.474998,49.509998,48.134998,48.285000,45.138611,3914498
2022-06-16,48.220001,48.314999,47.145000,47.520000,44.423458,2977303
2022-06-17,48.049999,49.005001,47.465000,47.740002,44.629124,6469429
2022-06-20,47.700001,48.580002,47.240002,48.345001,45.194702,2739853
2022-06-21,48.230000,49.875000,48.080002,49.355000,46.138885,2737509
2022-06-22,48.384998,49.490002,47.820000,49.040001,45.844414,2549010
2022-06-23,48.959999,49.230000,46.695000,46.740002,43.694286,4410938
2022-06-24,47.290001,48.259998,46.439999,47.935001,44.811417,3206957
2022-06-27,48.080002,48.674999,47.415001,47.805000,44.689888,2131109
2022-06-28,48.314999,48.764999,47.720001,47.910000,44.788044,2000150
2022-06-29,47.400002,47.775002,46.820000,47.080002,44.012131,2391623
2022-06-30,46.599998,46.650002,44.310001,45.365002,42.408886,6778136
2022-07-01,44.900002,45.965000,44.650002,45.310001,42.357471,2923835
2022-07-04,45.490002,45.619999,44.810001,45.279999,42.329422,1926639
2022-07-05,46.325001,46.400002,43.485001,43.904999,41.044022,4253514
2022-07-06,44.259998,44.705002,43.125000,43.435001,40.604652,3260699
2022-07-07,44.240002,44.875000,43.900002,44.549999,41.646992,3469291
2022-07-08,44.404999,45.599998,43.845001,45.459999,42.497692,2940913
2022-07-11,44.205002,44.715000,43.700001,43.974998,41.109459,3271985
2022-07-12,43.834999,43.935001,42.805000,43.814999,40.959885,4051308
2022-07-13,43.645000,43.825001,41.970001,42.730000,39.945587,4133839
2022-07-14,42.610001,42.910000,40.919998,41.105000,38.426479,4301820
2022-07-15,41.134998,41.715000,40.665001,41.575001,38.865852,4158222
2022-07-18,42.395000,42.970001,42.095001,42.450001,39.683834,3976686
2022-07-19,42.000000,43.970001,41.865002,43.900002,41.039349,3729350
2022-07-20,44.275002,44.910000,43.480000,44.525002,41.623623,4481824
2022-07-21,43.900002,45.410000,43.165001,44.529999,41.628296,4486269
2022-07-22,44.230000,44.700001,43.630001,43.814999,40.959885,3028163
2022-07-25,44.134998,45.009998,43.735001,44.724998,41.810589,2731324
2022-07-26,44.575001,44.595001,43.910000,44.314999,41.427303,2306753
2022-07-27,44.590000,44.945000,44.205002,44.365002,41.474049,2571387
2022-07-28,44.755001,45.130001,43.834999,44.700001,41.787220,3569601
2022-07-29,45.900002,46.584999,45.764999,46.000000,43.002506,4012824
2022-08-01,46.325001,46.930000,45.845001,45.860001,42.871632,2458967
2022-08-02,45.814999,46.535000,45.490002,46.400002,43.376442,3021875
2022-08-03,46.424999,47.294998,45.900002,47.259998,44.180401,3426642
2022-08-04,47.264999,48.400002,47.264999,48.330002,45.180679,3631979
2022-08-05,48.285000,49.049999,47.919998,48.840000,45.657444,3142565
2022-08-08,49.200001,49.369999,48.279999,48.505001,45.344276,2072528
2022-08-09,48.500000,48.919998,48.189999,48.505001,45.344276,1721651
2022-08-10,48.485001,49.294998,48.334999,49.235001,46.026707,2458219
2022-08-11,49.424999,49.740002,49.264999,49.555000,46.325851,2161150
2022-08-12,49.799999,50.619999,49.724998,50.430000,47.143837,3221801
2022-08-15,50.599998,50.610001,49.555000,50.080002,46.816643,1767850
2022-08-16,50.290001,50.650002,49.974998,50.130001,46.863384,1976129
2022-08-17,50.500000,50.759998,49.209999,49.474998,46.251064,2222740
2022-08-18,49.450001,49.509998,48.904999,49.029999,45.835060,2011446
2022-08-19,48.724998,48.965000,47.450001,47.660000,44.554337,3502588
2022-08-22,47.400002,47.400002,45.735001,46.480000,43.451229,3432582
2022-08-23,46.084999,47.134998,46.029999,46.625000,43.586781,2330432
2022-08-24,46.465000,46.759998,46.014999,46.660000,43.619499,1488730
2022-08-25,47.185001,47.240002,46.334999,46.634998,43.596127,1575288
2022-08-26,46.884998,47.290001,45.590000,45.849998,42.862278,2273072
2022-08-29,45.455002,45.834999,44.980000,45.759998,42.778145,2105680
